Address;Title;Description;Rooms;Living Space (sqm);Price
2017 Boudry;Nouveau projet à proximité de la rivière - appartement de 1.5 pièces au 1er;Venez découvrir ce projet sur www.aufildesvignes.chPetit commune nichée entre les vignes et le lac, Boudry offre toutes les infrastructures nécessaires, des transports publics aux commerces, en passant par les loisirs, notamment grâce à sa plage et sa réserve naturelle.Les deux immmeubles du projet « Au Fil des Vignes » s'intègrent parfaitement dans l'environnement, en offrant de beaux espaces à vivre en intérieur, comme en extérieur.A moins de 5 minutes en vélo de la Gare ou de la plage, les commerces et les transports publics sont accessibles en moins de 5 minutes à pied.Les appartements de ce projet, allant du 1.5 au 5.5 pièces bénéficient tous de grands balcons ou terrasses pour les logements au rez et en attique.***Le lot A - 4 au 1er de 1.5 pièces est disposé comme suit :- Un hall d'entrée avec armoires murales- Un séjour / cuisine- 2 chambres à coucher- Une salle de bains / douche / toilettes- Une salle de douche / toilettes avec un espace pour colonne de lavageLe choix des finitions est possible afin de personnaliser votre futur appartement à votre image.Possibilité d'acquérir une place de stationnement intérieure, en sus du prix de vente, avec chacun des logements.N'hésitez pas à prendre contact avec notre équipe de vente au 032 723 23 44 ou au 076 327 01 25 pour plus de renseignements et/ou pour un rendez-vous sur place, y compris le samedi.;1.5 rooms;27m²;CHF 753,220.–
2523 Lignières;Idéal pour un nouveau départ (Lot E);Nouvelle promotion au coeur d'un superbe quartier !Situé dans un cadre calme, cet attique saura vous charmer par son haut standing ainsi que par son architecture moderne et écologique. Le choix des finitions et des aménagements est au gré des acquéreurs.En entrant, vous découvrirez un hall doté d’une armoire murale qui vous permettra d’accueillir vos invités confortablement. Dans la partie jour, vous trouverez une vaste et lumineuse pièce de vie. Elle sera pourvue d'un séjour et d'un espace dînatoire communiquant avec une cuisine à l'américaine. Cette dernière sera entièrement équipée avec des électroménagers de qualité et des matériaux de standing. Grâce à ses belles baies vitrées, vous bénéficierez d’un accès direct à son grand balcon d'environ 20m2, afin de profiter des journées ensoleillées. Une salle de bains avec douche viendra compléter agréablement cette partie.La partie nuit se composera de trois spacieuses et lumineuses chambres à coucher, dont une magnifique suite parentale avec douche et WC pour une intimité à nulle autre pareille. Une superbe salle de douche sera conçue afin d'agrémenter ces belles pièces et vous fera profiter de tout le confort nécessaire au bien-être.À noter que ce joli bien possèdera dans son sous-sol : une cave privative, un espace de rangement ainsi qu’un local technique. Deux places de parc extérieures, à CHF 20'000.- en SUS du prix de vente, viennent compléter ce bien d'exception. N'hésitez plus et contactez-moi afin de profiter de cette magnifique opportunité ! Grégory Seydoux - Courtier - 079 734 24 17;2.5 rooms;120m²;CHF 744,510.–
Rue de la Dîme 9, 2000 Neuchâtel;Très bien située, parfait pour du rendement;Appartement de 1.5 pièces refait à neuf lors d'une rénovation complète du bâtiment. • Séjour / Cuisine de 26 m2 • Salle de bain • Chambre • Buanderie • Cave Possibilité d'acquérir une place de parc extérieure en option.À proximité des transports publics. Ecoles et commerces accessibles à pied.Travaux en cours, livraison pour mars 2025 au plus tard. 8% de rendement sur fonds propres.Plus d'informations disponibles sur demande.;1.5 rooms;15m²;CHF 516,670.–
Chemin du Vignoble 14, 2022 Bevaix;Sphères - Situation idyllique à Bevaix à partir de CHF 1'120'000.-;Bienvenue à Bevaix, au bord du lac de Neuchâtel, là où le chemin du Vignoble se transforme en un décor parfait pour votre rêve d‘habitation.C‘est ici, au coeur d‘un paysage pittoresque, que sont construites quatre villas modernes qui vous séduiront par leur alliance harmonieuse entre luxe et nature.Chaque villa comprend deux appartements de 2.5 pièces chacun et offre une vue incomparable sur le majestueux lac de Neuchâtel, les Alpes en toile de fond et les vignes environnantes.Le projet résidentiel exclusif Sphères propose un choix de huit appartements de standing, séduisant par leurs plans généreux et variant en taille de 120 m2 à 140 m2 en surface de vente net. Chaque appartement dispose selon sa situation, d‘un balcon ou d'une terrasse spacieuse offrant un espace de vie supplémentaire en plein air d‘environ 25 m2 à 45 m2. Les appartements en terrasse offrent à leurs occupants un petit jardin, qui donne des possibilités de détente et d‘intimité supplémentaires.Seize places de parking souterrain sont disponibles pour les véhicules. Les surfaces des caves sont généreuses et permettent un volume de rangement confortable.Visitez notre site internet: spheres-bevaix.ch;2.5 rooms;;CHF 1,394,400.–
2114 Fleurier;CHARMANTE ET FAMILIALE;Superbe maison individuelle idéale pour une famille, dotée d'une cheminée qui crée une atmosphère chaleureuse et accueillante. Cette résidence spacieuse offre tout le confort nécessaire pour une vie de famille épanouie. Avec ses multiples chambres, ses espaces de vie lumineux et son jardin bien entretenu, cette maison est l'endroit parfait pour créer des souvenirs inoubliables en famille, que ce soit devant un feu de cheminée en hiver ou en profitant du jardin en été.Cette offre de BETTERHOMES se caractérise par les avantages suivants: - bien orienté, exposition au soleil du matin au soir- grand jardin entretenu- belle terrasse- cuisine ouverte, tout équipé- chambres spacieuses et lumineuses- garage (2 véhicules)- un grand nombres de pièces pour le rangement- studio aménagé au sous-sol avec cuisine- grand bureau- abri atomique- etc., etc., etc. ...Intéressé? Contactez-nous pour une visite sans engagement - visite en ligne également possible!Rien qui correspond? Vous trouverez plus de 2'300 autres objets sur: www.betterhomes.ch - Le spécialiste suisse des transactions immobilières.Vous avez un bien immobilier à commercialiser?Profitez de notre savoir-faire: https://www.betterhomes.ch/fr/profiterVous souhaitez connaître la valeur de votre bien immobilier?Découvrez sa valeur dès maintenant grâce à notre estimation gratuite, immédiate et sans engagement!https://www.betterhomes.ch/fr/knowledge/estimationPlus détailsSituation: centralEtat du bâtiment: bon Salles de bain: 2 (1 x douche / baignoire / WC / lavabo, 1 x WC / lavabo) Transport publics: bus, 20 mEcole: école maternelle / primaire / collège, à proximitéCommerces: Denner, 20 m;2 rooms;320m²;CHF 1,207,650.–
Quartier du Pillial, 2123 St-Sulpice NE;Occasion en or ! 6 logements neufs avec choix des finitions;;2.5 rooms;30m²;CHF 566,470.–
2067 Chaumont;Maison contiguë à Chaumont;;2.5 rooms;130m²;CHF 1,020,900.–
2074 Marin-Epagnier;Appartement exclusif les pieds dans l'eau !;;1.5 rooms;21m²;CHF 1,556,250.–
2074 Marin-Epagnier;Pavillon exclusif les pieds dans l’eau !;;1.5 rooms;130m²;CHF 2,583,370.–
Route de Trois Rods 2, 2017 Boudry;Villa mitoyenne 2.5 pièces à Boudry.  4 chambres. Finitions aux gré du preneur  MINERGIE;;2.5 rooms;170m²;CHF 1,416,810.–
